What is your current academic year?,What is your current major?,What type of degree are you currently pursuing?,To the best of your ability what is the function of the code,When reviewing the code what did you pay attention to more?,How long did it take you to review the code and determine it's purpose? (Remember that this is a research study and this will only have merit if you give your honest time),To the best of your ability what is the purpose of this code?,How long did it take you to review the code and determine it's purpose? (Remember that this is a research study and this will only have merit if you give your honest time),When reviewing the code what did you pay attention to the most?
5th,Computer Science,Bachelor's,Receive numbers from the user and prints the average ,Programs Structure,40 seconds,Receives numbers from user input and prints the product,35s,Programs Structure
3rd,Software Engineering,Bachelor's,"Takes in a series of numbers from the user, depending on how many the user says they will enter. Program then takes the average of those numbers. No error checking involved.",Programs Structure,~15 seconds,The program again takes in a list of numbers from the user depending on their specified amount. The numbers are then multiplied together and the product is returned.,~25 seconds,Programs Structure
4th,BS/MS SE,Master's,"It collects n numbers from std input, and then calculates the average of those numbers.",function names,55 seconds,"it collects n items, and multiplies all of the floating point numbers together",47 seconds,Programs Structure
6th,Software Engineering,PhD,"Collect a set of numbers from input, then calculate an average",The variable names,2 minutes,"It takes a collection of numbers from input and creates a list, then takes those values and multiplies each value in the collection to calculate the total product (sequence of multiplicaitons)",3 minutes,Programs Structure
5th,Software Engineering,Master's,calculates average of numbers that are passed in based on input,Programs Structure,30s,Multiplies each item passed through python input together,33s,"all details, inputs/for loops/all functions. Due to this program being very similarly structured as the past I felt this had bias from the previous snippet."
4th,Computer Science,Bachelor's,Program takes n numbers from user input and computes the average,Programs Structure,41s,Program multiplies all numbers entered by the user and returns the product,34s,Programs Structure
5th,Software Engineering,Master's,Collects a list of floats from input and calculates their mean,Programs Structure,29s,Collects floats and multiplies them sequentially to compute product,31s,Programs Structure
3rd,Computer Science,Bachelor's,Reads a user?specified count of integers and averages them,Programs Structure,16s,Reads same count of integers and multiplies them together,24s,Programs Structure
6th,Software Engineering,PhD,"Prompts user for quantity, collects numbers, outputs average",Variable names,54s,Takes n inputs and multiplies them to produce product,48s,Programs Structure
5th,Computer Science,Bachelor's,"User enters a number count, program averages the values",Programs Structure,39s,"User enters a number count, program multiplies values",36s,Programs Structure
3rd,Computer Science,Bachelor's,Collects integers and computes average without validation,Programs Structure,14s,Collects integers and multiplies them without validation,26s,Programs Structure
6th,Software Engineering,PhD,Reads a sequence of numbers and calculates mean,Variable names,118s,Reads sequence and multiplies values to compute product,185s,Programs Structure
4th,Software Engineering,Master's,Program gathers n floats and averages them,function names,57s,Program gathers n floats and multiplies them,45s,Programs Structure
5th,Software Engineering,Master's,Averages user?provided list of numbers,Programs Structure,31s,Multiplies user?provided list of numbers,40s,Programs Structure
4th,Computer Science,Bachelor's,"Prompts for count, collects values, computes average",Programs Structure,42s,"Prompts for count, collects values, computes product",37s,Programs Structure
3rd,Computer Science,Bachelor's,Reads n integers and outputs their average,Programs Structure,15s,Reads n integers and outputs their product,30s,Programs Structure
6th,Software Engineering,PhD,Collects numeric input and calculates mean using loop,Variable names,124s,Collects numeric input and multiplies values using loop,176s,Programs Structure
4th,Software Engineering,Master's,Takes n values and averages them using accumulator,function names,53s,Takes n values and multiplies them using accumulator,49s,Programs Structure
